Type, Architecture, Model, Layer, Energy, Latency, Wall time
Constrained, vector256, mobv3, 34, 12.13, 99200, 0.325
Constrained, vector256, mobv3, 35, 2.0, 55593, 0.347
Constrained, vector256, mobv3, 36, 10.69, 116864, 0.262
ConstrainedRehashForced, vector256, mobv3, 36_37, N/A, 47112.0, N/A
Constrained, vector256, mobv3, 37, 47.2, 232128, 0.372
Constrained, vector256, mobv3, 38, 46.41, 147000, 0.199
Constrained, vector256, mobv3, 39, 0.17, 86712, 0.240
Constrained, vector256, mobv3, 40, 0.31, 86976, 0.204
Constrained, vector256, mobv3, 41, 27.66, 272988, 0.303
Constrained, vector256, mobv3, 42, 62.59, 315336, 0.266
Constrained, vector256, mobv3, 43, 6.01, 204876, 0.275
Constrained, vector256, mobv3, 44, 0.22, 169860, 0.234
Constrained, vector256, mobv3, 45, 0.45, 170160, 0.185
Constrained, vector256, mobv3, 46, 47.08, 379612, 0.305
ConstrainedRehashForced, vector256, mobv3, 46_47, N/A, 70980.0, N/A
Constrained, vector256, mobv3, 47, 62.59, 315336, 0.268
Constrained, vector256, mobv3, 48, 21.51, 201495, 0.258
Constrained, vector256, mobv3, 49, 0.22, 169860, 0.244
Constrained, vector256, mobv3, 50, 0.57, 169552, 0.244
Constrained, vector256, mobv3, 51, 191.88, 192652, 0.249
Constrained, vector256, mobv3, 52, 18.42, 261772, 0.245
Constrained, vector256, mobv3, 53, 33.22, 73788, 0.195
Constrained, vector256, mobv3, 54, 0.64, 345816, 0.256
Constrained, vector256, mobv3, 55, 0.42, 346572, 0.176
Constrained, vector256, mobv3, 56, 18.01, 246140, 0.244
ConstrainedRehashForced, vector256, mobv3, 56_57, N/A, 23556.0, N/A
Constrained, vector256, mobv3, 57, 15.07, 261772, 0.236
Constrained, vector256, mobv3, 58, 33.22, 73788, 0.202
Constrained, vector256, mobv3, 59, 0.64, 345816, 0.260
Constrained, vector256, mobv3, 60, 0.42, 346572, 0.175
Constrained, vector256, mobv3, 61, 18.01, 246140, 0.225
ConstrainedRehashForced, vector256, mobv3, 61_62, N/A, 23556.0, N/A
Constrained, vector256, mobv3, 62, 11.7, 261772, 0.233
ConstrainedTotal, vector256, mobv3, N/A, N/A, 16303325.0, N/A
TotalTime, vector256, mobv3, N/A, N/A, N/A, 313.134
